TimeStamp;Тм на входе в Д;0 - Bad, 1 - Good
12:10:00.001;21.548;1
12:10:00.024;21.548;1
12:10:00.046;21.548;1
12:10:00.068;21.548;1
12:10:00.091;21.548;1
12:10:00.114;21.548;1
12:10:00.140;21.548;1
12:10:00.162;21.618;1
12:10:00.183;21.618;1
12:10:00.206;21.618;1
12:10:00.229;21.618;1
12:10:00.253;21.618;1
12:10:00.277;21.618;1
12:10:00.298;21.618;1
12:10:00.322;21.618;1
12:10:00.344;21.618;1
12:10:00.369;21.618;1
12:10:00.391;21.618;1
12:10:00.414;21.618;1
12:10:00.437;21.618;1
12:10:00.459;21.618;1
12:10:00.487;21.664;1
12:10:00.508;21.664;1
12:10:00.528;21.664;1
12:10:00.552;21.664;1
12:10:00.575;21.664;1
12:10:00.597;21.664;1
12:10:00.620;21.664;1
12:10:00.643;21.664;1
12:10:00.669;21.664;1
12:10:00.689;21.664;1
12:10:00.712;21.664;1
12:10:00.735;21.664;1
12:10:00.758;21.664;1
12:10:00.781;21.664;1
12:10:00.807;21.571;1
12:10:00.829;21.571;1
12:10:00.852;21.571;1
12:10:00.874;21.571;1
12:10:00.896;21.571;1
12:10:00.919;21.571;1
12:10:00.942;21.571;1
12:10:00.968;21.571;1
12:10:00.988;21.571;1
12:10:01.011;21.571;1
12:10:01.034;21.571;1
12:10:01.057;21.571;1
12:10:01.080;21.571;1
12:10:01.106;21.571;1
12:10:01.127;21.595;1
12:10:01.150;21.595;1
12:10:01.174;21.595;1
12:10:01.195;21.595;1
12:10:01.218;21.595;1
12:10:01.241;21.595;1
12:10:01.267;21.595;1
12:10:01.287;21.595;1
12:10:01.310;21.595;1
12:10:01.333;21.595;1
12:10:01.356;21.595;1
12:10:01.380;21.595;1
12:10:01.402;21.595;1
12:10:01.425;21.664;1
12:10:01.448;21.664;1
12:10:01.471;21.664;1
12:10:01.494;21.664;1
12:10:01.517;21.664;1
12:10:01.540;21.664;1
12:10:01.563;21.664;1
12:10:01.587;21.664;1
12:10:01.610;21.664;1
12:10:01.633;21.664;1
12:10:01.657;21.664;1
12:10:01.680;21.664;1
12:10:01.702;21.664;1
12:10:01.725;21.664;1
12:10:01.748;21.804;1
12:10:01.772;21.804;1
12:10:01.793;21.804;1
12:10:01.817;21.804;1
12:10:01.840;21.804;1
12:10:01.863;21.804;1
12:10:01.889;21.804;1
12:10:01.910;21.804;1
12:10:01.932;21.804;1
12:10:01.956;21.804;1
12:10:01.978;21.804;1
12:10:02.001;21.804;1
12:10:02.026;21.804;1
12:10:02.047;21.804;1
12:10:02.069;21.688;1
12:10:02.092;21.688;1
12:10:02.116;21.688;1
12:10:02.140;21.688;1
12:10:02.161;21.688;1
12:10:02.184;21.688;1
12:10:02.208;21.688;1
12:10:02.231;21.688;1
12:10:02.254;21.688;1
12:10:02.278;21.688;1
12:10:02.301;21.688;1
12:10:02.325;21.688;1
12:10:02.345;21.688;1
12:10:02.368;21.688;1
12:10:02.392;21.664;1
12:10:02.415;21.664;1
12:10:02.437;21.664;1
12:10:02.463;21.664;1
12:10:02.487;21.664;1
12:10:02.508;21.664;1
12:10:02.529;21.664;1
12:10:02.553;21.664;1
12:10:02.576;21.664;1
12:10:02.598;21.664;1
12:10:02.621;21.664;1
12:10:02.644;21.664;1
12:10:02.670;21.664;1
12:10:02.690;21.664;1
12:10:02.713;21.664;1
12:10:02.737;20.849;0
12:10:02.763;21.821;0
12:10:02.785;21.404;0
12:10:02.807;21.405;0
12:10:02.831;22.039;0
12:10:02.854;21.102;0
12:10:02.875;22.302;0
12:10:02.899;21.518;0
12:10:02.923;21.299;0
12:10:02.945;21.872;0
12:10:02.967;20.808;0
12:10:02.990;21.302;0
12:10:03.014;21.030;0
12:10:03.037;22.062;0
12:10:03.060;20.834;0
12:10:03.083;21.217;0
12:10:03.108;21.388;0
12:10:03.128;20.945;0
12:10:03.152;24.677;0
